timestamp,amount,running_balance,month_year,category
2023-01-07 00:00:00+00:00,-81.24,55136.56,2023-01,transfer
2023-01-06 00:00:00+00:00,-28.25,55164.81,2023-01,bills and utilities
2023-01-06 00:00:00+00:00,22.42,55142.39,2023-01,taxes
2023-01-06 00:00:00+00:00,-12.89,55155.28,2023-01,groceries / food spend
2023-01-06 00:00:00+00:00,-49.2,55204.48,2023-01,bills and utilities
2023-01-06 00:00:00+00:00,-9.71,55214.19,2023-01,home and garden
2023-01-06 00:00:00+00:00,344.89,54869.3,2023-01,taxes
2023-01-06 00:00:00+00:00,137.6,54731.7,2023-01,transfer
2023-01-06 00:00:00+00:00,61.89,54669.81,2023-01,transfer
2023-01-06 00:00:00+00:00,-0.01,54669.82,2023-01,savings
2023-01-06 00:00:00+00:00,-5.0,54674.82,2023-01,shopping
2023-01-05 00:00:00+00:00,-60.0,54734.82,2023-01,transfer
2023-01-05 00:00:00+00:00,-1.89,54736.71,2023-01,savings
2023-01-05 00:00:00+00:00,-6.81,54743.52,2023-01,finances
2023-01-05 00:00:00+00:00,-7.99,54751.51,2023-01,shopping
2023-01-05 00:00:00+00:00,-0.33,54751.84,2023-01,transfer
2023-01-05 00:00:00+00:00,-12.73,54764.57,2023-01,finances
2023-01-05 00:00:00+00:00,-4.91,54769.48,2023-01,groceries / food spend
2023-01-05 00:00:00+00:00,-20.0,54789.48,2023-01,shopping
2023-01-04 00:00:00+00:00,8.3,54781.18,2023-01,transfer
2023-01-04 00:00:00+00:00,70.0,54711.18,2023-01,transfer
2023-01-04 00:00:00+00:00,59.17,54652.01,2023-01,transfer
2023-01-04 00:00:00+00:00,-15.95,54667.96,2023-01,transfer
2023-01-04 00:00:00+00:00,-7.41,54675.37,2023-01,shopping
2023-01-04 00:00:00+00:00,-3.13,54678.5,2023-01,finances
2023-01-04 00:00:00+00:00,-100.0,54778.5,2023-01,transfer
2023-01-04 00:00:00+00:00,100.0,54678.5,2023-01,transfer
2023-01-04 00:00:00+00:00,-3.59,54682.09,2023-01,business services
2023-01-04 00:00:00+00:00,25.0,54657.09,2023-01,transfer
2023-01-04 00:00:00+00:00,-130.0,54787.09,2023-01,rent
2023-01-03 00:00:00+00:00,0.89,54786.2,2023-01,transfer
2023-01-03 00:00:00+00:00,-0.41,54786.61,2023-01,savings
2023-01-03 00:00:00+00:00,130.0,54656.61,2023-01,transfer
2023-01-03 00:00:00+00:00,3.79,54652.82,2023-01,transfer
2023-01-03 00:00:00+00:00,-23.11,54675.93,2023-01,transport
2023-01-03 00:00:00+00:00,35.49,54640.44,2023-01,entertainment
2023-01-03 00:00:00+00:00,-0.01,54640.45,2023-01,savings
2023-01-03 00:00:00+00:00,-2.99,54643.44,2023-01,entertainment
2023-01-03 00:00:00+00:00,-30.0,54673.44,2023-01,shopping
2023-01-03 00:00:00+00:00,25.71,54647.73,2023-01,transfer
2023-01-03 00:00:00+00:00,-40.0,54687.73,2023-01,transfer
2023-01-03 00:00:00+00:00,-5.0,54692.73,2023-01,groceries / food spend
2023-01-02 00:00:00+00:00,20.12,54672.61,2023-01,transfer
